Time (s),Voltage (V)
0.0,0.14800000000000002
0.04,0.158
0.08,0.15200000000000002
0.12,0.162
0.16,0.15400000000000003
0.2,0.0040000000000000036
0.24,0.0
0.28,0.0020000000000000018
0.32,0.0040000000000000036
0.36,0.0020000000000000018
0.4,-0.0020000000000000018
0.44,-0.003999999999999997
0.48,-0.003999999999999997
0.52,-0.003999999999999997
0.56,-0.0020000000000000018
0.6,-0.0020000000000000018
0.64,-0.003999999999999997
0.68,-0.0020000000000000018
0.72,0.0
0.76,-0.003999999999999997
0.8,-0.0020000000000000018
0.84,0.0020000000000000018
0.88,0.0040000000000000036
0.92,-0.0020000000000000018
0.96,-0.0020000000000000018
1.0,0.0020000000000000018
1.04,0.0
1.08,-0.0020000000000000018
1.12,-0.0020000000000000018
1.16,0.0
1.2,-0.0020000000000000018
1.24,0.0
1.28,-0.0020000000000000018
1.32,-0.003999999999999997
1.36,-0.003999999999999997
1.4000000000000001,0.0
1.44,-0.003999999999999997
1.48,-0.003999999999999997
1.52,0.0020000000000000018
1.56,0.006000000000000005
1.6,0.0040000000000000036
1.6400000000000001,-0.0020000000000000018
1.68,-0.0020000000000000018
1.72,-0.0020000000000000018
1.76,-0.003999999999999997
1.8,-0.0020000000000000018
1.84,-0.0020000000000000018
1.8800000000000001,-0.003999999999999997
1.92,-0.0020000000000000018
1.96,0.0020000000000000018
2.0,-0.0020000000000000018
2.04,-0.003999999999999997
2.08,0.0020000000000000018
2.12,0.0
2.16,-0.0020000000000000018
2.2,0.0
2.24,0.0040000000000000036
2.2800000000000002,0.0040000000000000036
2.32,0.0020000000000000018
2.36,0.0020000000000000018
2.4,0.0020000000000000018
2.44,-0.0020000000000000018
2.48,-0.0020000000000000018
2.52,0.0020000000000000018
2.56,-0.0020000000000000018
2.6,-0.0020000000000000018
2.64,0.0
2.68,-0.003999999999999997
2.72,-0.005999999999999998
2.7600000000000002,0.0
2.8000000000000003,0.0040000000000000036
2.84,0.0020000000000000018
2.88,0.0
2.92,0.0020000000000000018
2.96,0.0020000000000000018
3.0,-0.0020000000000000018
3.04,-0.0020000000000000018
3.08,-0.0020000000000000018
3.12,-0.005999999999999998
3.16,-0.0020000000000000018
3.2,0.0
3.24,-0.003999999999999997
3.2800000000000002,-0.003999999999999997
3.3200000000000003,0.0
3.36,-0.0020000000000000018
3.4,-0.005999999999999998
3.44,-0.0020000000000000018
3.48,0.0020000000000000018
3.52,0.0
3.56,0.0
3.6,0.0020000000000000018
3.64,0.0020000000000000018
3.68,-0.0020000000000000018
3.72,0.0
3.7600000000000002,0.0020000000000000018
3.8000000000000003,-0.0020000000000000018
3.84,0.0020000000000000018
3.88,0.0020000000000000018
3.92,-0.003999999999999997
3.96,-0.005999999999999998
4.0,0.0
4.04,0.0020000000000000018
4.08,-0.0020000000000000018
4.12,0.0020000000000000018
4.16,0.0040000000000000036
4.2,0.0040000000000000036
4.24,0.0020000000000000018
4.28,0.0020000000000000018
4.32,-0.0020000000000000018
4.36,-0.003999999999999997
4.4,-0.0020000000000000018
4.44,0.0020000000000000018
4.48,-0.0020000000000000018
4.5200000000000005,-0.0020000000000000018
4.5600000000000005,0.0020000000000000018
4.6000000000000005,-0.003999999999999997
4.64,-0.005999999999999998
4.68,-0.0020000000000000018
4.72,0.0020000000000000018
4.76,-0.003999999999999997
4.8,0.0
4.84,0.0020000000000000018
4.88,0.0
4.92,0.0
4.96,0.0020000000000000018
5.0,-0.0020000000000000018
5.04,-0.0020000000000000018
5.08,0.0020000000000000018
5.12,0.0020000000000000018
5.16,-0.005999999999999998
5.2,-0.003999999999999997
5.24,0.0
5.28,-0.003999999999999997
5.32,-0.005999999999999998
5.36,-0.0020000000000000018
5.4,0.0020000000000000018
5.44,0.0020000000000000018
5.48,0.0040000000000000036
5.5200000000000005,0.0040000000000000036
5.5600000000000005,-0.003999999999999997
5.6000000000000005,-0.0020000000000000018
5.64,0.0020000000000000018
5.68,-0.0020000000000000018
5.72,-0.003999999999999997
5.76,0.0020000000000000018
5.8,0.0020000000000000018
5.84,-0.005999999999999998
5.88,-0.003999999999999997
5.92,0.0020000000000000018
5.96,-0.003999999999999997
6.0,-0.005999999999999998
6.04,-0.0020000000000000018
6.08,0.0
6.12,-0.0020000000000000018
6.16,0.0020000000000000018
6.2,0.0020000000000000018
6.24,-0.0020000000000000018
6.28,0.0020000000000000018
6.32,0.0040000000000000036
6.36,0.0
6.4,-0.003999999999999997
6.44,0.0
6.48,0.0020000000000000018
6.5200000000000005,-0.003999999999999997
6.5600000000000005,-0.005999999999999998
6.6000000000000005,-0.003999999999999997
6.640000000000001,-0.0020000000000000018
6.68,0.0020000000000000018
6.72,0.0040000000000000036
6.76,0.0040000000000000036
6.8,0.0020000000000000018
6.84,0.0020000000000000018
6.88,0.0020000000000000018
6.92,-0.0020000000000000018
6.96,-0.0020000000000000018
7.0,0.0020000000000000018
7.04,0.0
7.08,-0.003999999999999997
7.12,-0.0020000000000000018
7.16,0.0020000000000000018
7.2,-0.0020000000000000018
7.24,-0.005999999999999998
7.28,-0.003999999999999997
7.32,-0.003999999999999997
7.36,-0.003999999999999997
7.4,0.0
7.44,0.0
7.48,-0.0020000000000000018
7.5200000000000005,0.0
7.5600000000000005,0.0020000000000000018
7.6000000000000005,-0.0020000000000000018
7.640000000000001,-0.003999999999999997
7.68,0.0020000000000000018
7.72,0.0020000000000000018
7.76,-0.003999999999999997
7.8,-0.003999999999999997
7.84,-0.003999999999999997
7.88,-0.003999999999999997
7.92,-0.003999999999999997
7.96,-0.0020000000000000018
8.0,-0.0020000000000000018
8.040000000000001,0.0020000000000000018
8.08,0.006000000000000005
8.120000000000001,0.0040000000000000036
8.16,0.0020000000000000018
8.2,0.0020000000000000018
8.24,0.0020000000000000018
8.28,0.0020000000000000018
8.32,-0.0020000000000000018
8.36,0.0020000000000000018
